symbol,model_name,MFTR,ARR,AVol,MDD,Sharpe,IR,MCFD,MAE,MSE,n_trades,start,end
sui,xgboost,0.00019499942286679527,2.715953003855773,0.7739067233209249,-0.1448009989207032,2.0852621433032517,0.02293377923154151,0.5230352303523035,0.008681525093787428,0.00011924208365318954,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
ton,gru,-5.5586029156626426e-05,-0.5213137226242752,0.5577470180418027,-0.10783062258931997,-1.041918907678659,-0.046373889576016805,0.5149700598802395,0.3485146418246211,0.12149790517966687,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
ton,xgboost,5.570582663325709e-05,0.2687940254631225,0.5588673628996581,-0.09241060403396095,0.7042574244112025,0.00843548412419957,0.48502994011976047,0.004566758927044289,3.752264959783477e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
trx,gru,3.004987862481096e-05,0.13361110876854343,0.29547979742914654,-0.07841275177324358,0.5720979567368982,-0.046373889576016805,0.5184381778741866,0.08761694156847015,0.007686619822605642,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
trx,xgboost,2.987153031722181e-05,0.131443546928393,0.2959825787270744,-0.0784127517732437,0.5651618232874855,-0.046423834544262965,0.5173913043478261,0.002458862636404431,1.1338652981877527e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
usdc,gru,6.077075212920415e-07,-0.08525988689737884,0.022115138669497488,-0.00045078702649459235,-4.01851563441261,-0.03831364919786849,0.49667405764966743,0.0012380464941187045,1.5347890811514592e-06,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
usdc,xgboost,-6.111728199080089e-07,-0.09515949348009822,0.022150841535031784,-0.0005009900022322489,-4.503234130801568,-0.046423834544262965,0.5022222222222222,3.7376615326847854e-05,2.3737300473889323e-09,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
usde,gru,6.629019093156841e-06,-0.037134696924930655,0.06202813340631283,-0.004571648646762627,-0.5791115592284309,-0.04632410546120797,0.5149700598802395,0.007738971494253304,6.027624355528993e-05,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
usde,xgboost,-6.643275048195891e-06,-0.14299641965839516,0.06207473406776126,-0.006068378283530018,-2.4549221208574843,-0.01901371285194694,0.48502994011976047,0.00043051763421330134,3.9821348303874006e-07,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
usdt,gru,9.323371278461173e-07,-0.0827217148424183,0.025202338099860357,-0.001888958924190276,-3.4134243738140118,-0.046373889576016805,0.5300751879699248,0.002156988564786111,4.671370093524541e-06,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
usdt,xgboost,9.257257509663292e-07,-0.0829619955088593,0.025244462002780976,-0.001888958924190609,-3.418064292127411,-0.046423834544262965,0.5283018867924528,4.401128303478916e-05,1.8913628261647445e-08,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
wbeth,gru,0.0001891030997187208,2.7428143538126637,0.7013079588346262,-0.15161470214647743,2.2277653995900426,-0.046373889576016805,0.5227765726681128,0.15292296846055642,0.023441433992034987,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
wbeth,xgboost,0.00019183821879899032,2.830654958374935,0.7021101479690854,-0.15161470214647688,2.25905614602348,-0.046423834544262965,0.5239130434782608,0.004737406745510626,5.6071928626139756e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
wbtc,gru,-0.00016165632652494175,-0.7898355344388625,0.3150735290275205,-0.13177857390095016,-4.793493675610137,-0.046373889576016805,0.4466230936819172,0.20114111029270673,0.040469048424522626,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
wbtc,xgboost,-0.00012889119785438642,-0.9865291932464407,0.352538141019078,-0.24017019305104303,-12.038904748951119,-0.17969297053956867,0.45414847161572053,0.0023140166513238368,1.2241331317659169e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
weeth,gru,0.0001405757795646614,1.4840790436608318,0.6782013043908403,-0.16839562497573934,1.6768624201052136,-0.046373889576016805,0.5010752688172043,0.12642587953338982,0.01603584715338113,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
weeth,xgboost,0.0001562203575199618,1.8458627364068798,0.6791896656132799,-0.16839562497573968,1.8756025958656974,-0.0464739412340173,0.5010799136069114,0.0047485435383174904,5.249202110465473e-05,463,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
weth,gru,0.0001387163722446362,1.4124013970682565,0.6969348989740703,-0.1668822498550514,1.6084169039691352,-0.046373889576016805,0.5162689804772235,0.17726235397258802,0.031477216288133485,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
weth,xgboost,0.0001401287261385091,1.4402006972289016,0.6979609060366253,-0.16688224985505085,1.6234879051947086,-0.046423834544262965,0.5173913043478261,0.004883281469259721,5.539295333301794e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
wsteth,gru,0.00012344207021123058,1.1115796081542069,0.6959383263854709,-0.16581213420747598,1.4184575690641141,-0.046373889576016805,0.5053763440860215,0.1643041151649118,0.027050954098200224,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
wsteth,xgboost,-0.00012345855579694775,-0.7583536415837602,0.696471555419415,-0.20510246186930992,-1.6883582557758265,-0.017318573052998044,0.4956896551724138,0.005037168893374528,5.733419180941396e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
xlm,gru,-0.0002742414434131881,-0.9331118494976133,0.6468776192955255,-0.18562551171648967,-3.859070689950841,-0.04632410546120797,0.4523809523809524,0.1256164303020921,0.015827071280521205,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
xlm,xgboost,0.00027467513021588733,7.1786932545808515,0.647565534346663,-0.10548031674135361,3.5702341611442345,0.0389379514863823,0.5466377440347071,0.004804401762482431,4.806713312016378e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
xrp,gru,-0.0002854502637496403,-0.9376503901754503,0.6021405624497537,-0.19526692425678416,-4.308853926399231,-0.04632410546120797,0.46794871794871795,0.2042611858876987,0.041763919018583395,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
xrp,xgboost,-0.00028606413528458577,-0.9380213682196171,0.6027876949029307,-0.19526692425678416,-4.3134844912499,-0.046373889576016805,0.46794871794871795,0.004750056424106912,4.675788783994995e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
